# Duplicate candidate windows by flavour

| Count | Fixture                                          | First                                                                                       | Duplicates                                                                                                                                                                                                                                                                          | Detail                            | Fingerprint                                                                                               |
| 10    | flavour_60f74ee73091a2753cdc571c00f9e9f1075262bb | Zend/tests/attributes/005_objects.phpt:34                                                   | Zend/tests/attributes/005_objects.phpt:44, Zend/tests/attributes/005_objects.phpt:54, Zend/tests/attributes/005_objects.phpt:70, +6 more                                                                                                                                            | message_only/fixable              | message_only:78c8244c45e6beb27e598e2137855adcc9acb454                                                     |
| 17    | flavour_8c6798e0dd2a1f040554bb1c26934d1780572ae1 | ext/reflection/tests/ReflectionExtension_constructor_error.phpt:11                          | ext/reflection/tests/ReflectionExtension_constructor_error.phpt:17, ext/reflection/tests/ReflectionExtension_constructor_error.phpt:23, ext/reflection/tests/ReflectionFunction_construct.001.phpt:13, +13 more                                                                     | message_only/fixable              | message_only:7dcc601729fcc35fdc7746a7ac45ec474a6e9a8f                                                     |
| 81    | flavour_c1b891d8804619578af3455436cf979020f4bc7a | Zend/tests/ast/gh21072.phpt:13                                                              | Zend/tests/asymmetric_visibility/ast_printing.phpt:17, Zend/tests/bug72107.phpt:12, Zend/tests/enum/ast-dumper.phpt:26, +77 more                                                                                                                                                    | message_only/fixable              | message_only:815c351c0d23adb97c78f1d77844c28a462c3b11                                                     |
| 13    | flavour_d8bc08a88b475810ee3a0ff84cfaadcdb6873529 | Zend/tests/asymmetric_visibility/variation.phpt:98                                          | Zend/tests/asymmetric_visibility/variation_nested.phpt:63, Zend/tests/readonly_props/variation.phpt:98, Zend/tests/readonly_props/variation_nested.phpt:63, +9 more                                                                                                                 | message_only/fixable              | message_only:815c351c0d23adb97c78f1d77844c28a462c3b11\|context:previous-none:following-moved:trace-none   |
| 268   | flavour_e7b12098dfe74f34ee910d451610fc6142f36e37 | Zend/tests/assert/expect_015.phpt:23                                                        | Zend/tests/assert/expect_015.phpt:72, Zend/tests/assert/expect_015.phpt:108, Zend/tests/assert/expect_015.phpt:124, +264 more                                                                                                                                                       | message_only/fixable              | message_only:81dfc2fafa453d62f003ff6f025e53436f13af6a                                                     |
| 3     | flavour_c5acacc0692ea8bbc4c2ae092b77fded48ec28cb | ext/dom/tests/DOMElement_className.phpt:31                                                  | ext/dom/tests/DOMElement_id.phpt:32, ext/standard/tests/general_functions/type.phpt:53                                                                                                                                                                                              | message_only/fixable              | message_only:8aae1e62df49f180fbac3b52cbead9ada1a4d30e                                                     |
| 7     | flavour_1a808a63d856229b6b8d91e8de33819a9cdba8f2 | Zend/tests/constexpr/constant_expressions_exceptions_002.phpt:8                             | Zend/tests/exceptions/exception_013.phpt:12, Zend/tests/exceptions/exception_013.phpt:18, Zend/tests/exceptions/exception_013.phpt:24, +3 more                                                                                                                                      | message_only/fixable              | message_only:903f0e99bdbbf63c638ed3562f5f94c74f0c0a7f                                                     |
| 1032  | flavour_25f5385ee50e62d6ad7d0a6692a7bbf6860c76c6 | Zend/tests/access_modifiers/access_modifiers_008.phpt:36                                    | Zend/tests/access_modifiers/access_modifiers_008.phpt:42, Zend/tests/access_modifiers/access_modifiers_008.phpt:47, Zend/tests/bug26229.phpt:24, +1028 more                                                                                                                         | message_only/fixable              | message_only:9a56715dab68037edb8ccec11e5cae69622b350b                                                     |
| 2     | flavour_2cbbbe0b58fbdf66db63ab8624915c088aa33133 | Zend/tests/exceptions/bug50383.phpt:26                                                      | Zend/tests/exceptions/bug50383.phpt:33                                                                                                                                                                                                                                              | message_only/fixable              | message_only:9b34b7ac716be04c0d4c41d7bb0e14a724f7fd27\|context:previous-none:following-none:trace-present |
| 6     | flavour_04ee7839622efd7b8fec1c82e4fd5ff980ef6f3d | ext/date/tests/timezone_offset_get_error.phpt:17                                            | ext/date/tests/timezone_offset_get_error.phpt:24, ext/date/tests/timezone_offset_get_error.phpt:31, ext/date/tests/timezone_offset_get_error.phpt:40, +2 more                                                                                                                       | message_only/fixable              | message_only:9e1b8b7ce8f23b9e3d0f7ba6290ab5f4ad3ff125                                                     |
| 143   | flavour_3efaa6daaa4057cfc8f8111b8507223af372e41f | Zend/tests/arg_unpack/string_keys.phpt:13                                                   | Zend/tests/arg_unpack/traversable_throwing_exception.phpt:24, Zend/tests/arg_unpack/traversable_throwing_exception.phpt:28, Zend/tests/assert/expect_003.phpt:11, +139 more                                                                                                         | message_only/fixable              | message_only:a2350f6a03bf223388395898998b6581f0ef7a72                                                     |
| 2     | flavour_4845a342f87bae87aa8831277ce80e21cc18580d | ext/standard/tests/general_functions/bug44295-win.phpt:21                                   | ext/standard/tests/general_functions/bug44295.phpt:21                                                                                                                                                                                                                               | message_only/fixable              | message_only:aece6ea78d3c088a5b57ad66ad7803973b26211a                                                     |
| 1614  | flavour_b68139d59e76dd23f468dc35c33b32717e4c002b | Zend/tests/array_literal_next_element_error.phpt:11                                         | Zend/tests/array_literal_next_element_error.phpt:18, Zend/tests/array_merge_recursive_next_key_overflow.phpt:11, Zend/tests/array_merge_recursive_next_key_overflow.phpt:20, +1610 more                                                                                             | message_only/fixable              | message_only:af7e4b5389bad955af6dcc6c145971bb0fe350ab                                                     |
| 2     | flavour_c4d7a27cef33bb906f04afad457132110f780562 | ext/pdo_mysql/tests/bug68371.phpt:61                                                        | ext/pdo_pgsql/tests/bug68371.phpt:63                                                                                                                                                                                                                                                | message_only/fixable              | message_only:cc9f59316383b2be10228520dce81288717f928d                                                     |
| 2     | flavour_45fdc1f0fde14c56078dba327f5a0a9c09cf3315 | Zend/tests/methods-on-non-objects-catch.phpt:13                                             | Zend/tests/methods-on-non-objects-usort.phpt:15                                                                                                                                                                                                                                     | message_only/fixable              | message_only:d79505347b3f8c1792eb386cdb36916fdc6e93b2                                                     |
| 4     | flavour_108dcb084479582eea0a4b0a351df0f406c76a86 | Zend/tests/generators/throw_into_yield_from_array.phpt:23                                   | ext/calendar/tests/easter_date_32bit.phpt:20, ext/calendar/tests/easter_date_checks_upper_bound_32bit.phpt:17, ext/pdo_firebird/tests/bug_76450.phpt:23                                                                                                                             | message_only/fixable              | message_only:db398486fe8a5b79b851cbc9e0ed8d4718049ce5                                                     |
| 2     | flavour_26708943f884603ee4b46dd0c981807f88b778c1 | ext/com_dotnet/tests/variants.phpt:37                                                       | ext/com_dotnet/tests/variants_x64.phpt:40                                                                                                                                                                                                                                           | message_only/fixable              | message_only:ddbdfecc9307fe468ab9d75109eee17cb5869bd3                                                     |
| 13    | flavour_ca836aa1dbb19145da81c6ec692529c6f5c811f1 | ext/mysqli/tests/mysqli_execute_query.phpt:62                                               | ext/mysqli/tests/mysqli_execute_query.phpt:67, ext/mysqli/tests/mysqli_execute_query.phpt:82, ext/mysqli/tests/mysqli_execute_query_leak.phpt:19, +9 more                                                                                                                           | message_only/fixable              | message_only:fa65b493de2828dc49c1fc5962f8986a96d65435                                                     |
| 21    | flavour_854d43842ea036d9c554e67a3228fb871ed419ca | Zend/tests/arrow_functions/007.phpt:11                                                      | Zend/tests/arrow_functions/007.phpt:17, Zend/tests/assert/bug70528.phpt:15, Zend/tests/assert/bug70528.phpt:20, +17 more                                                                                                                                                            | message_only/fixable              | message_only:fbf0db25a8465a85f532e93d77df6b03ec739a62                                                     |
| 3     | flavour_c4d7a27cef33bb906f04afad457132110f780562 | Zend/tests/bug53432.phpt:30                                                                 | Zend/tests/bug53432.phpt:38, Zend/tests/bug53432.phpt:46                                                                                                                                                                                                                            | message_only/fixable              | message_only:ff048f3b8a08ebb7b10345447ffc43a0221f12ac                                                     |
